modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"99ceb156-c2a5-4375-8bc7-6854a81639c8","model_17_auto.bpmn",0.766300,0.000000,0.811300,0.921100,0.000000,0.000000
"0050316e-02b1-4454-92d6-5a08c1a4bd3d","model_16_auto.bpmn",0.743400,0.000000,0.811300,0.921100,0.000000,0.000000
"d925fe1f-886b-4bed-85e8-097ad35ce275","model_15_auto.bpmn",0.683900,0.000000,0.803900,0.916600,0.000000,0.000000
"d7a771a9-8348-4a29-9e5e-11e881c642d9","model_14_auto.bpmn",0.569800,0.000000,0.811300,0.967700,0.000000,0.000000
"5264b858-fc5d-46c2-9d0c-94c3ba3a3e81","model_13_auto.bpmn",0.777700,0.000000,0.785700,0.919300,0.000000,0.000000
"27db842e-16c9-4087-85e8-7c9f59e20ccf","model_12_auto.bpmn",0.767900,0.428100,0.785700,0.921100,0.667049,0.549729
"80abf18d-02c2-4a10-a916-e9e4ed412cec","model_10_auto.bpmn",0.710100,0.000000,0.809500,0.909300,0.000000,0.000000
"20b14c2e-6065-4747-bcd0-c841230f7c27","model_9_auto.bpmn",0.770300,0.000000,0.787200,0.912800,0.000000,0.000000
"b05ef6e5-8218-4797-b1f8-f395e48c2333","model_8_auto.bpmn",0.670900,0.000000,0.818200,0.909300,0.000000,0.000000
"02fd4381-1419-4df1-a0f1-1774c4a5b583","model_7_auto.bpmn",0.720500,0.000000,0.809500,0.909300,0.000000,0.000000
"ff8e2d0b-4468-45ce-8e3c-5d915deaa782","model_6_auto.bpmn",0.578500,0.000000,0.846200,0.906300,0.000000,0.000000
"779652b3-76a6-4f9c-88ae-14c61f725dcb","model_5_auto.bpmn",0.660200,0.250000,0.853700,0.910100,0.513819,0.362668
"d01de80e-c4b5-4c1e-a58e-ab1d5e342f3a","model_4_auto.bpmn",0.787500,0.311100,0.846200,0.909300,0.591214,0.446006
"1f0899ce-59b8-4eb6-8ef9-9317f38c8995","model_3_auto.bpmn",0.718500,0.000000,0.818200,0.969900,0.000000,0.000000
"1eecd460-030d-4d7d-a4b5-c6472c2f1eb9","model_2_auto.bpmn",0.787700,0.000000,0.853700,0.910100,0.000000,0.000000
"d8ec7402-b75b-4f86-955a-84fc9005f827","model_1_auto.bpmn",0.778000,0.250000,0.787200,0.912800,0.522794,0.378405
