modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"2f5ef687-ef9b-4d33-bf21-13b87019a5b6","model_10_auto.bpmn",0.637800,0.000000,0.772200,0.802100,0.000000,0.000000
"e7607e1f-eb93-4f23-b806-2c1d6778c18b","model_9_auto.bpmn",0.417200,0.000000,0.736800,0.749400,0.000000,0.000000
"b14a2dce-bf67-4c82-ad36-91ba9c5835ab","model_8_auto.bpmn",0.580000,0.000000,0.777800,0.823300,0.000000,0.000000
"eb793138-aaba-4c6d-875c-766417929559","model_7_auto.bpmn",0.667600,0.000000,0.771400,0.850800,0.000000,0.000000
"b491f315-1e86-482d-8ed5-84dfdaeedf1c","model_6_auto.bpmn",0.574500,0.000000,0.750000,0.765600,0.000000,0.000000
"34f3e414-56e3-4f66-8f76-05b4d2d88bef","model_5_auto.bpmn",0.679700,0.000000,0.743600,0.797800,0.000000,0.000000
"4e985edf-8214-48ef-b844-0f7c8d946957","model_4_auto.bpmn",0.746800,0.000000,0.766200,0.833900,0.000000,0.000000
"e34c8304-581a-41b9-9fb5-e99138f494e4","model_3_auto.bpmn",0.657800,0.000000,0.743600,0.825400,0.000000,0.000000
"335fc999-c3e7-4d8b-a389-8f6c98c9d2a3","model_2_auto.bpmn",0.620700,0.000000,0.771400,0.817100,0.000000,0.000000
"d11ad9e8-dd1c-4414-bf8c-d41ffa8640d4","model_1_auto.bpmn",0.570800,0.000000,0.777800,0.818500,0.000000,0.000000
