modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"749bdb09-f7db-472d-b9c7-67e42c8e7716","model_10_auto.bpmn",0.784700,0.250000,0.841300,0.928100,0.530470,0.379192
"f5040392-1d40-4f44-b421-65d495bead21","model_9_auto.bpmn",0.825200,0.357200,0.875000,0.967400,0.646419,0.498582
"89a1dcdc-0fa6-4eb4-8103-2d267c78a248","model_8_auto.bpmn",0.759300,0.000000,0.841300,0.968500,0.000000,0.000000
"545f1dcd-60e1-4851-a6df-b264fc477c50","model_7_auto.bpmn",0.722500,0.000000,0.871000,0.968400,0.000000,0.000000
"12ed9a93-6161-418b-a7f2-e9bc58cf470e","model_6_auto.bpmn",0.759500,0.000000,0.871000,0.968400,0.000000,0.000000
"4583af65-e871-4b4d-8635-308c0cd2ad71","model_5_auto.bpmn",0.771400,0.000000,0.875000,0.968400,0.000000,0.000000
"af56bb3f-e08b-481f-aab2-3746e495af4a","model_4_auto.bpmn",0.766800,0.142900,0.841300,0.928100,0.378497,0.240905
"2c5021c9-fba4-41cd-ab53-6f1ad5c5b196","model_3_auto.bpmn",0.843000,0.292400,0.818200,0.968100,0.582975,0.434196
"29a96b4b-b957-4abe-8192-552604ba8c0d","model_2_auto.bpmn",0.814900,0.000000,0.841300,0.967900,0.000000,0.000000
"3dc35fbc-e085-487d-be7b-bc45ca6bab41","model_1_auto.bpmn",0.776300,0.447300,0.836100,0.968300,0.695342,0.567569
