modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"bf2a3171-3c8c-4fcc-92f5-7fc7e0c73d6f","model_10_auto.bpmn",0.442300,0.941000,0.894700,0.691700,0.679462,0.601756
"e5494ee4-92cb-4694-b3dd-55ca1b19c67b","model_9_auto.bpmn",0.561900,0.892800,0.904800,0.726300,0.743245,0.689715
"2d9f5443-4bc8-4aae-9e44-c265772b61ba","model_8_auto.bpmn",0.231500,0.000000,0.894700,0.691700,0.000000,0.000000
"bf78e102-1f74-4719-b421-f56cba06a1fa","model_7_auto.bpmn",0.442900,0.940900,0.894700,0.691700,0.679802,0.602290
"2b65a136-9519-4262-b3d8-0d42e382b084","model_6_auto.bpmn",0.571900,0.899900,0.904800,0.726300,0.748804,0.699352
"9b5f9b2b-4751-4f76-ae4a-89821be6d3e9","model_5_auto.bpmn",0.240200,0.000000,0.894700,0.691700,0.000000,0.000000
"5627006c-b71f-4e4d-850a-2bb0b849cdf1","model_4_auto.bpmn",0.449100,0.505800,0.904800,0.726300,0.598283,0.475767
"935da09d-ec18-4010-9054-ae2513b18b47","model_3_auto.bpmn",0.468900,0.910100,0.904800,0.726300,0.700098,0.618921
"04f64483-e8f1-4854-ba89-8f15572cd251","model_2_auto.bpmn",0.385100,0.530500,0.833300,0.726300,0.566682,0.446255
"f5322bcd-16ca-46c4-ba51-9d98ab2743b3","model_1_auto.bpmn",0.384600,0.461900,0.846200,0.645600,0.533634,0.419721
