modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"5caf4a33-c401-462e-9ccd-1c028eb3faec","model_10_auto.bpmn",0.925900,1.000000,0.846200,0.964500,0.930538,0.961524
"ded5ae81-fc4b-4233-b388-484705f8a72c","model_9_auto.bpmn",0.875200,1.000000,0.913000,0.964500,0.935740,0.933447
"f98823fd-0008-4312-a3ac-2c83b0c2fbdd","model_8_auto.bpmn",0.716500,0.500000,0.920000,0.964800,0.724754,0.588985
"da9fd7ca-36a8-44ec-b230-9b24ba82e832","model_7_auto.bpmn",0.714400,0.500000,0.920000,0.964800,0.724216,0.588274
"d013e58b-c7e0-4c30-8e4e-3ea12d5b1190","model_6_auto.bpmn",0.828300,0.500000,0.806500,0.964800,0.729434,0.623579
"49971026-47d7-4a51-b261-8660bd634931","model_5_auto.bpmn",0.839500,0.500000,0.818200,0.965100,0.734007,0.626726
"4d987c0a-63f3-46ba-80c3-8ad48742e675","model_4_auto.bpmn",0.813600,0.500000,0.857100,0.964800,0.736334,0.619367
"447690d2-bc3d-450b-950b-926682a1c336","model_3_auto.bpmn",0.800700,0.951800,0.920000,0.964800,0.904366,0.869736
"1f246775-ac2d-4c56-aca3-4854c55b71e2","model_2_auto.bpmn",0.845500,0.852600,0.846200,0.964500,0.874475,0.849035
"03b6b450-e83c-49ed-b738-f29035283484","model_1_auto.bpmn",0.828300,0.500000,0.806500,0.964800,0.729434,0.623579
