modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"aab173f0-b709-42fb-b42f-003368df520d","model_10_auto.bpmn",0.806500,0.991800,0.920000,0.967100,0.915506,0.889603
"362b6e7c-0d5e-48ee-a5b5-a0cc84785943","model_9_auto.bpmn",0.879200,0.907500,0.920000,0.964900,0.916872,0.893126
"2f22bc7b-47f3-4d1f-a945-b78b733bf066","model_8_auto.bpmn",0.889000,1.000000,0.866700,0.966200,0.927290,0.941239
"8dd3023b-beaf-4fd5-8698-66714b85610f","model_7_auto.bpmn",0.816500,1.000000,0.920000,0.967100,0.920447,0.898982
"1e0968ad-d6f4-448f-9a22-43fdf2457b91","model_6_auto.bpmn",0.890400,1.000000,0.866700,0.966200,0.927671,0.942023
"4b34d53a-60a7-454c-9ffe-2ce3bc436c69","model_5_auto.bpmn",0.889500,1.000000,0.920000,0.966000,0.941979,0.941519
"30c11a12-7260-4d03-93c0-12e9c7fe7aff","model_4_auto.bpmn",0.936500,1.000000,0.857100,0.966000,0.936828,0.967209
"3f5f33e3-f3b0-4d03-a906-9dc09dc7cddd","model_3_auto.bpmn",0.839900,1.000000,0.925900,0.966100,0.928993,0.912984
"5f709e6e-dfc5-4ac4-aa48-7afa8b8ef821","model_2_auto.bpmn",0.939500,1.000000,0.857100,0.966000,0.937577,0.968806
"869af40c-6c35-4ecb-967d-a5f5d9f8f049","model_1_auto.bpmn",0.890500,1.000000,0.925900,0.967200,0.944085,0.942079
