modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"1ab6161b-70d7-4455-b162-bf963ef1db43","model_10_auto.bpmn",0.802000,0.000000,0.853700,0.962200,0.000000,0.000000
"c7e99a76-0f03-4f86-ae40-ac40bb887cf4","model_9_auto.bpmn",0.837700,0.000000,0.785700,0.919100,0.000000,0.000000
"d75afa10-01c2-4553-a0b3-1589363abc10","model_8_auto.bpmn",0.859700,0.668400,0.787200,0.964200,0.805354,0.752076
"e6906570-4135-4f0c-a57d-29a94bd54d55","model_7_auto.bpmn",0.795000,0.000000,0.846200,0.964000,0.000000,0.000000
"3dddd5ae-6f29-4fb0-b670-0f640929d54d","model_6_auto.bpmn",0.781900,0.671400,0.818200,0.963600,0.795493,0.722449
"22d450d6-4054-4340-a2cf-642d6838b944","model_5_auto.bpmn",0.797200,0.000000,0.853700,0.960600,0.000000,0.000000
"93bc97e4-ede9-427f-b468-b99ffc11c4ca","model_4_auto.bpmn",0.735400,0.000000,0.809500,0.964200,0.000000,0.000000
"85fcdd4a-f95c-4380-97d1-cec65b223348","model_3_auto.bpmn",0.826900,0.754300,0.818200,0.961300,0.833764,0.788933
"8d361914-e59a-4875-8f79-413d83f215b3","model_2_auto.bpmn",0.752300,0.442600,0.818200,0.963600,0.683924,0.557315
"21e52616-6e5e-4fbb-8f59-3ac9c7f8f164","model_1_auto.bpmn",0.852500,0.680600,0.826100,0.961000,0.817427,0.756913
