modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"462346b6-a661-4f7d-842c-e7536ba42890","model_10_auto.bpmn",0.853900,0.000000,0.846200,0.905100,0.000000,0.000000
"275bb3ab-0547-4770-9fc2-ff8fbd6121c6","model_9_auto.bpmn",0.900600,0.250000,0.818200,0.908600,0.538129,0.391361
"ca546034-52a7-4d3c-959f-d034e2df3f4f","model_8_auto.bpmn",0.960600,0.667000,0.818200,0.908600,0.822528,0.787319
"f2fbddbd-ea64-489f-9a40-abfcd82605e7","model_7_auto.bpmn",0.927000,0.702300,0.853700,0.908600,0.837765,0.799156
"ba55e0ac-a178-4943-adab-125856b68f11","model_6_auto.bpmn",0.843200,0.000000,0.882400,0.898700,0.000000,0.000000
"d9237ee4-5ac4-4e04-ad60-1179d985fccf","model_5_auto.bpmn",0.887100,0.000000,0.888900,0.903100,0.000000,0.000000
"aa75bad9-9e57-4191-9606-4e24dec3b06e","model_4_auto.bpmn",0.843200,0.000000,0.882400,0.898700,0.000000,0.000000
"475d8632-3a84-4c03-a513-b6e60749d724","model_3_auto.bpmn",0.894200,0.000000,0.853700,0.908600,0.000000,0.000000
"9e52ab41-d5cf-4779-a684-eba7f66bac73","model_2_auto.bpmn",0.830400,0.000000,0.894700,0.906900,0.000000,0.000000
"424e9ab6-4058-478c-8a20-0c069a73d6fb","model_1_auto.bpmn",0.958100,0.628800,0.846200,0.903100,0.812494,0.759283
