modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"a15a8d57-d2b5-4931-b22c-936806e41a84","model_27_auto.bpmn",0.926000,1.000000,0.787200,0.915200,0.900314,0.961578
"4c90ab8c-fb18-4ce9-b615-708c62afa97d","model_26_auto.bpmn",0.919800,0.841700,0.769200,0.917800,0.857471,0.879019
"d494149b-01e7-432f-9882-cfcbf1552310","model_25_auto.bpmn",0.912500,0.949800,0.787200,0.915000,0.886532,0.930776
"714e7a8b-5ad9-4070-9cd2-45f605d9f9b0","model_24_auto.bpmn",0.935700,0.880100,0.769200,0.917800,0.870593,0.907049
"8513ba5e-cd8e-4130-a380-3e08b6bb7386","model_23_auto.bpmn",0.930100,1.000000,0.787200,0.915100,0.901255,0.963784
"95b90566-fa4c-4ae2-a117-97e3719a7955","model_22_auto.bpmn",0.961500,0.885800,0.777800,0.920400,0.880839,0.922099
"632fe297-3d28-4374-8f78-b5701f0d5c02","model_21_auto.bpmn",0.902500,0.000000,0.787200,0.915400,0.000000,0.000000
"54a66301-c89f-470d-8684-08b854c1ce13","model_20_auto.bpmn",0.942000,0.883600,0.769200,0.917800,0.872806,0.911866
"84a73e06-c8ad-49ca-9817-d63a1f326b3c","model_19_auto.bpmn",0.942500,0.885400,0.769200,0.917900,0.873375,0.913058
"8d9f10e8-ba41-4294-85f8-ff7621a1c696","model_18_auto.bpmn",0.886100,0.000000,0.787200,0.914300,0.000000,0.000000
