modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"a92cc011-aefb-4f08-84ab-5fc9df7d81cd","model_11_auto.bpmn",0.803400,0.899500,0.875000,0.893500,0.866084,0.848738
"1846b2be-e277-4f15-9847-cd415436cbd5","model_10_auto.bpmn",0.854600,0.916400,0.818200,0.890800,0.868405,0.884422
"0a1047bb-54b7-4e00-90f6-b5953d7dce6d","model_9_auto.bpmn",0.875300,0.899500,0.846200,0.844400,0.865759,0.887235
"c22ce95c-c15c-4812-91cd-1bb6f5dfbc6b","model_8_auto.bpmn",0.816900,0.897000,0.866700,0.890800,0.866672,0.855078
"7de12ce3-42f3-4398-9b2c-2cca8ea0cce6","model_7_auto.bpmn",0.839900,0.906400,0.828600,0.893800,0.865884,0.871884
"bb7841b6-357d-47e4-946e-b0394ccc828f","model_6_auto.bpmn",0.870200,0.902100,0.875000,0.893600,0.885032,0.885863
"8a0dfaed-70cd-44d3-8c4c-c6564f75a662","model_5_auto.bpmn",0.831800,0.897000,0.837800,0.836200,0.849883,0.863171
"d889aab4-b397-44b8-a842-792b4aeb7f9a","model_4_auto.bpmn",0.805100,0.899500,0.866700,0.890800,0.863894,0.849686
"35ebb310-aec6-4310-883a-6bd0130ff7b2","model_3_auto.bpmn",0.896800,0.921200,0.828600,0.895100,0.884043,0.908836
"5e41c02e-e5d5-4807-bcda-e5c71ee515c6","model_2_auto.bpmn",0.841300,0.897000,0.828600,0.894200,0.864185,0.868258
"2ec4208d-f8cb-478b-aeb8-18404d6b2bbe","model_1_auto.bpmn",0.877100,0.916400,0.809500,0.843800,0.859884,0.896319
