modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"c8fb3f98-68a4-4e99-bfdd-0b1e105051d2","model_17_auto.bpmn",0.955800,0.997200,0.853700,0.905600,0.924927,0.976061
"2833f5c6-8ffb-44d2-9029-73fd4576439b","model_16_auto.bpmn",0.959800,0.998400,0.894700,0.905600,0.937774,0.978720
"e74a550a-8869-4f40-8091-ea9afbf3fab6","model_15_auto.bpmn",0.970600,0.997100,0.853700,0.905600,0.928330,0.983672
"39de90a1-1ae3-43bb-be2e-abb343ffe1c8","model_14_auto.bpmn",1.000000,0.990500,0.818200,0.905600,0.922504,0.995227
"42926047-7a9b-4f7e-8f6a-0d1f59495f0a","model_13_auto.bpmn",0.978300,0.990800,0.818200,0.905600,0.917873,0.984510
"24a5fc37-86e0-4308-8011-dbed5663a972","model_12_auto.bpmn",0.971500,0.936700,0.818200,0.905600,0.904292,0.953783
"56b3c592-0bc6-4f9f-a52a-bf385eaa2b35","model_11_auto.bpmn",0.985600,0.993400,0.818200,0.905600,0.920029,0.989485
"4d6ba747-9cb5-41fd-95b0-c5b3dbd6df9e","model_10_auto.bpmn",0.974700,0.982300,0.860500,0.908300,0.928710,0.978485
"ab81c720-85c8-4ecf-aaef-9562ec56338a","model_9_auto.bpmn",0.955400,0.998200,0.853700,0.905600,0.925049,0.976331
"a1445222-d50d-4a91-94e8-4b4d150a0aa8","model_8_auto.bpmn",0.970900,0.998200,0.853700,0.905600,0.928637,0.984361
"c7325c43-78f6-4550-a376-b9285130df2f","model_7_auto.bpmn",0.974200,0.993200,0.853700,0.905600,0.928302,0.983608
"dfc838e7-853d-48f0-88d2-c50ba0e3dfba","model_6_auto.bpmn",0.956700,0.997600,0.853700,0.905600,0.925224,0.976722
"dc654174-742e-44d5-b52e-a91c752b4586","model_5_auto.bpmn",0.970000,0.997100,0.853700,0.905600,0.928193,0.983363
"8da0814d-a770-436f-89bf-818c0f7c2b5b","model_4_auto.bpmn",0.944900,0.998000,0.894700,0.905600,0.934088,0.970724
"89642bad-50a4-4595-81e8-d2d583803f7c","model_3_auto.bpmn",0.962900,0.997500,0.853700,0.905600,0.926645,0.979895
"67830c85-f98e-43dd-bdac-ca6d69b0e9f2","model_2_auto.bpmn",0.978100,0.995700,0.853700,0.905600,0.929731,0.986822
"83c5b53a-89b2-451a-9d88-e69c20ade845","model_1_auto.bpmn",0.969800,0.997700,0.853700,0.905600,0.928277,0.983552
