modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"4350c0df-4230-4f85-b637-dcb6e101c4bc","model_20_auto.bpmn",0.948100,0.733200,0.812500,0.883400,0.836578,0.826916
"79d50ca1-5002-446f-8f98-fa4e100039e2","model_19_auto.bpmn",0.923700,0.701700,0.806500,0.880700,0.819152,0.797539
"74215604-9194-4fd5-a8db-74fd08a34aa2","model_18_auto.bpmn",0.923700,0.652000,0.806500,0.880700,0.801325,0.764425
"47dd6985-43f2-4145-83c9-42001ddf8e6c","model_17_auto.bpmn",0.856400,0.822300,0.818200,0.830300,0.831539,0.839004
"d2ae0f33-a2f8-4678-8d9d-24263f44b3ef","model_16_auto.bpmn",0.971900,0.874700,0.830500,0.841400,0.876280,0.920742
"d8eafc9a-bc30-4769-8207-71101f93efca","model_15_auto.bpmn",0.756000,0.383500,0.846200,0.910500,0.644085,0.508865
"acac7c60-f49a-4854-b6dd-a820d70f2c83","model_14_auto.bpmn",0.816500,0.678500,0.800000,0.837100,0.777729,0.741131
"74eab9fa-c691-472f-963c-112484f6d7d4","model_13_auto.bpmn",0.919100,0.600300,0.806500,0.879800,0.779666,0.726255
"97e1f2cc-96aa-4362-92fb-dd56203fc5ad","model_12_auto.bpmn",0.936800,0.651400,0.806500,0.845200,0.795910,0.768457
"85bea48d-4dd5-4e9f-9ce0-b94908df2a05","model_11_auto.bpmn",0.870100,0.622000,0.818200,0.909800,0.787658,0.725423
"c34a5fc7-653b-417c-b235-97374d84a238","model_10_auto.bpmn",0.748900,0.383500,0.846200,0.910500,0.642787,0.507247
"9feaabd4-49d5-4748-b123-5b497efb5e56","model_9_auto.bpmn",0.906700,0.890100,0.830500,0.807500,0.856741,0.898323
"e3b702df-1a89-4d72-8765-40120d986414","model_8_auto.bpmn",0.835500,0.630200,0.800000,0.913100,0.779901,0.718472
"803588b0-be27-4893-9ea4-7043d7733b8d","model_7_auto.bpmn",0.870400,0.822300,0.824600,0.835500,0.837767,0.845667
"f15a1434-0646-429d-8c14-aa65b6016ada","model_6_auto.bpmn",0.804600,0.623800,0.840000,0.865900,0.770524,0.702758
"875bb10f-e7b3-4d74-b807-f95d3f2823f4","model_5_auto.bpmn",0.834000,0.617200,0.806500,0.842200,0.762405,0.709406
"6a65effd-b8f3-48a6-9f44-9a3e0cba1330","model_4_auto.bpmn",0.915100,0.691700,0.830500,0.880700,0.820001,0.787870
"608eed7b-2b90-473f-8ebe-4545d2e1b7b4","model_3_auto.bpmn",0.917400,0.901500,0.857100,0.878400,0.888009,0.909381
"46cec9a3-da0d-4029-9159-814490abcad4","model_2_auto.bpmn",0.955600,0.546700,0.791000,0.919300,0.765166,0.695502
"2702f5e3-3818-47b7-8955-02cd36af25de","model_1_auto.bpmn",0.930300,0.799400,0.836100,0.814000,0.842036,0.859897
