modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"d4686017-d4ab-43b8-a637-04e76b81c1e8","model_20_auto.bpmn",0.728300,0.658700,0.737400,0.888000,0.744401,0.691754
"7eaef9f0-61fc-4381-96ee-233a710361b7","model_19_auto.bpmn",0.749100,0.622700,0.768400,0.782700,0.724654,0.680077
"fe8a3e11-7387-40a8-b831-f573af2c1c02","model_18_auto.bpmn",0.789900,0.658200,0.750000,0.818100,0.748930,0.718061
"0034d007-a446-4daa-b033-49ffdae86d15","model_17_auto.bpmn",0.625400,0.000000,0.768400,0.740200,0.000000,0.000000
"f0151fa8-3f6b-4486-a40e-d463ccf191ad","model_16_auto.bpmn",0.721400,0.622400,0.752800,0.887600,0.734230,0.668253
"b257b162-d034-4b60-bd72-b43c8c6b81d8","model_15_auto.bpmn",0.805800,0.661800,0.743600,0.896000,0.767325,0.726735
"f87f9ce4-654f-4d76-a0b6-a26993eb00b6","model_14_auto.bpmn",0.607800,0.000000,0.742600,0.644000,0.000000,0.000000
"a355cbef-8f3c-4148-8046-ee4bd20d5abd","model_13_auto.bpmn",0.763800,0.990300,0.736800,0.949800,0.845825,0.862426
"80b766c7-7561-4984-8efe-4b5fd409e48a","model_12_auto.bpmn",0.725600,0.998800,0.773200,0.776300,0.806312,0.840558
"72d5f3d2-c03b-43aa-bd25-cdb2087b5ef2","model_11_auto.bpmn",0.781500,0.676200,0.741200,0.895500,0.765653,0.725047
"dc8725d0-136d-4f2c-8651-826835b8503e","model_10_auto.bpmn",0.520700,0.000000,0.750000,0.777500,0.000000,0.000000
"40af292c-e537-4dcd-9909-941a356d0d80","model_9_auto.bpmn",0.668300,0.000000,0.756100,0.761800,0.000000,0.000000
"c7c99c71-8c32-48b5-ac8d-73e8d601b854","model_8_auto.bpmn",0.781400,0.675100,0.741200,0.895500,0.765276,0.724371
"5a4e5870-d529-4341-a5ea-87640277c9fd","model_7_auto.bpmn",0.712300,0.621500,0.755100,0.845800,0.724696,0.663809
"6568ddbc-5e6e-4f3e-a128-70f468462bf9","model_6_auto.bpmn",0.805200,0.674000,0.741200,0.871400,0.765939,0.733782
"9fdc92fd-7681-440f-a448-2051f8faca1f","model_5_auto.bpmn",0.602800,0.000000,0.768400,0.715900,0.000000,0.000000
"a2b9a54f-8033-4c39-b09b-80b5bf50a41f","model_4_auto.bpmn",0.778700,0.673300,0.728400,0.949900,0.769967,0.722175
"1ca9f7ed-dff6-44b6-a4b8-2eed3079cfad","model_3_auto.bpmn",0.703500,0.000000,0.750000,0.758800,0.000000,0.000000
"56887ff9-f4d3-4e69-8838-d91c68ade284","model_2_auto.bpmn",0.702400,0.617400,0.760000,0.735200,0.699380,0.657163
"2814f909-5b1b-4aa7-8b58-aea09a3bd602","model_1_auto.bpmn",0.723700,0.657700,0.742600,0.798900,0.727196,0.689123
