modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"b8827105-869e-4495-a70b-4cb46e04d725","model_20_auto.bpmn",0.830400,0.944700,0.890900,0.968400,0.905414,0.883870
"2b337fe7-306f-45aa-b1bf-f1a665e1fba6","model_19_auto.bpmn",0.798400,0.962000,0.898300,0.967800,0.901207,0.872598
"2bbe4cab-0e8e-45a6-8c9b-ee7bda372831","model_18_auto.bpmn",0.839000,0.818500,0.890900,0.968400,0.875516,0.828623
"934a19c5-145a-4f15-82d0-9709e06fd17c","model_17_auto.bpmn",0.828700,0.796400,0.890900,0.968400,0.866279,0.812229
"1b9ee3e6-815a-419d-a53a-8bfb9ed09ff4","model_16_auto.bpmn",0.838300,0.956500,0.923100,0.968400,0.918631,0.893508
"7c0fc48d-013b-4770-80f0-a3c7947e5970","model_15_auto.bpmn",0.810100,0.863100,0.890900,0.968400,0.879484,0.835761
"94556b77-5e54-421b-a0e5-dea8ff1cf824","model_14_auto.bpmn",0.828500,0.966300,0.894700,0.968400,0.910705,0.892110
"fe631637-f3c8-4ebc-aa7b-53e87faca43d","model_13_auto.bpmn",0.841000,0.913300,0.866700,0.968400,0.894770,0.875660
"a6548e25-7c84-49a4-852c-221e3264b9e2","model_12_auto.bpmn",0.794100,0.948600,0.890900,0.967800,0.895014,0.864501
"102ea58f-8de5-421b-84e6-0862dfd1cbdb","model_11_auto.bpmn",0.863800,0.949100,0.925900,0.968400,0.925077,0.904443
"fa1cb988-f655-4907-8b76-60f4076d1a37","model_10_auto.bpmn",0.812500,0.645300,0.862100,0.967800,0.804236,0.719312
"76bf2514-c8a7-4e6e-bcd1-8b33aa4b2d3c","model_9_auto.bpmn",0.841000,0.847800,0.866700,0.968400,0.878153,0.844386
"32fe05b7-e77a-4c1a-a50f-4ca8bd77a782","model_8_auto.bpmn",0.822800,0.948300,0.928600,0.967600,0.913189,0.881104
"85c9943f-1fba-4a3f-99e2-a0cff6c6bf52","model_7_auto.bpmn",0.829100,0.822400,0.923100,0.968400,0.881442,0.825736
"5534b302-89af-4898-b7ad-16921255cdb4","model_6_auto.bpmn",0.856500,0.811100,0.894700,0.968400,0.878974,0.833182
"0014b02e-e4bb-4b51-841e-995d5fc3328e","model_5_auto.bpmn",0.854000,0.854500,0.890900,0.968400,0.889615,0.854250
"932c9da6-77de-4e6d-88c6-15d4adfbc54b","model_4_auto.bpmn",0.832600,0.924700,0.862100,0.968400,0.893839,0.876237
"6d886cfc-7317-4f9c-b550-0ae14a23d80d","model_3_auto.bpmn",0.875400,0.822500,0.862100,0.968400,0.878980,0.848126
"6485e268-106b-4902-99ba-6ca87543444d","model_2_auto.bpmn",0.797200,0.922600,0.894700,0.967900,0.891039,0.855328
"062052f7-090a-4bdb-9cad-b52c8c8d141e","model_1_auto.bpmn",0.901900,0.924600,0.866700,0.967900,0.913808,0.913109
