modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"f2ca9ef0-6ee0-4653-8f7e-ece66138b0ea","model_20_auto.bpmn",0.831000,0.000000,0.777800,0.776200,0.000000,0.000000
"555c3aba-2d96-4b09-af93-e699aa0039a4","model_19_auto.bpmn",0.714000,0.359500,0.777800,0.630600,0.567081,0.478217
"86265cb7-7408-444f-a8a3-36e933abb284","model_18_auto.bpmn",0.864500,0.250000,0.797100,0.766400,0.518397,0.387842
"fd6b214c-4a74-428b-a855-81142ed9a477","model_17_auto.bpmn",0.840500,0.489500,0.771400,0.792400,0.690727,0.618684
"a305207e-2e19-4acc-af32-ae4f88e3b11b","model_16_auto.bpmn",0.832400,0.000000,0.797100,0.798000,0.000000,0.000000
"6b1c60f3-1300-4cf8-85f0-e5881908e1e0","model_15_auto.bpmn",0.850000,0.529800,0.777800,0.776700,0.709578,0.652747
"9a067a01-e701-4f5b-bc14-e1e712b8c59c","model_14_auto.bpmn",0.790600,0.444300,0.771400,0.755300,0.651899,0.568894
"1f899c6a-b19b-4270-9c8b-f78d4adf8046","model_13_auto.bpmn",0.811500,0.494400,0.791000,0.728800,0.678970,0.614451
"3560d073-074f-4580-adde-342417edf5ef","model_12_auto.bpmn",0.811100,0.250000,0.791000,0.755300,0.511437,0.382198
"729df3b3-3f52-403d-afc7-a7402f54e2c8","model_11_auto.bpmn",0.742600,0.000000,0.770500,0.760600,0.000000,0.000000
"74217050-c6ff-42d2-a5c9-cd2983b0b938","model_10_auto.bpmn",0.764800,0.000000,0.777800,0.739400,0.000000,0.000000
"e5f9efd7-c2d3-4e84-a464-4106b56bd480","model_9_auto.bpmn",0.744400,0.405500,0.771400,0.720800,0.616034,0.525009
"5840a85d-b40b-43e6-86d4-7e2718036742","model_8_auto.bpmn",0.904900,0.412500,0.791000,0.762200,0.655142,0.566679
"8fff692c-73ce-48ac-ac25-2dade8e85e99","model_7_auto.bpmn",0.824100,0.352000,0.771400,0.787900,0.604239,0.493297
"47764fa9-ab64-4c02-9621-acca61a4568f","model_6_auto.bpmn",0.860500,0.448300,0.764700,0.783300,0.669219,0.589490
"01d8ebb0-478e-442e-ba09-b1c2e12df496","model_5_auto.bpmn",0.848900,0.000000,0.784600,0.818200,0.000000,0.000000
"1b8d9362-1580-41a8-9eea-1b198187f414","model_4_auto.bpmn",0.804000,0.000000,0.770500,0.769000,0.000000,0.000000
"afab4fc6-dfe4-4936-8444-cbeaf2654776","model_3_auto.bpmn",0.878400,0.531500,0.791000,0.755300,0.713254,0.662273
"235da4aa-d3ad-49e4-972c-7a6ff321d191","model_2_auto.bpmn",0.709700,0.470900,0.851900,0.762600,0.664696,0.566149
"49f1cecd-0b35-4e3d-a3aa-8e1e29796d9d","model_1_auto.bpmn",0.841200,0.384400,0.757600,0.813700,0.631000,0.527672
