modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"29494daa-942a-4855-9408-b883e3d1c3ed","model_20_auto.bpmn",0.800000,0.996500,1.000000,0.968400,0.933240,0.887503
"605b001f-8599-462f-b5c1-b3a12969ee0c","model_19_auto.bpmn",0.817700,0.995000,0.904800,0.968400,0.916209,0.897679
"2fa8bc24-a1f6-4ec3-82cf-c8c8ac2db3df","model_18_auto.bpmn",0.791300,0.979900,0.833300,0.968400,0.885556,0.875559
"60b6a801-e76e-4268-870f-72c6ae331858","model_17_auto.bpmn",0.798100,0.997400,1.000000,0.968400,0.932789,0.886689
"b80d80d3-1023-4fb7-8e08-72e6cf25e0dd","model_16_auto.bpmn",0.875200,0.975500,0.913000,0.968400,0.931178,0.922632
"fa63dbe5-8508-4195-ab0f-befe805a6e5b","model_15_auto.bpmn",0.847500,0.993000,0.846200,0.968400,0.908807,0.914499
"c18172aa-7c58-49f9-a2b9-af1661540984","model_14_auto.bpmn",0.822900,0.994600,0.904800,0.968400,0.917749,0.900640
"fe107559-b3bc-40f4-ab49-7fd2e56a179e","model_13_auto.bpmn",0.816300,0.994500,0.904800,0.968400,0.915663,0.896632
"f6342322-dcf6-4467-b6e3-aacc1f21c4da","model_12_auto.bpmn",0.754600,0.996400,0.894700,0.968400,0.893028,0.858805
"5aadca10-209f-44fb-8ed6-398e9d6c9ee7","model_11_auto.bpmn",0.799300,0.996800,1.000000,0.968400,0.933067,0.887191
"a63a4c05-a9f5-4169-88df-aa4c6b2b2f60","model_10_auto.bpmn",0.884800,0.947800,0.846200,0.968400,0.909161,0.915217
"370d6d6f-c57c-4ca3-8d05-fc80579b192e","model_9_auto.bpmn",0.872900,0.984000,0.913000,0.968400,0.932447,0.925126
"8416e4bc-a323-4f95-a71b-1b033d35090f","model_8_auto.bpmn",0.795100,0.997400,1.000000,0.968400,0.931762,0.884834
"10a5a709-1c21-4035-88bf-5a6923d5ce97","model_7_auto.bpmn",0.817400,0.994300,0.904800,0.968400,0.915967,0.897213
"6643a948-5c87-4e2a-9e4d-b09c51152331","model_6_auto.bpmn",0.817900,0.993700,0.904800,0.968400,0.915996,0.897270
"6adaf709-27af-46df-a60d-3fbb9bcdddb4","model_5_auto.bpmn",0.832200,0.992900,0.833300,0.968400,0.900604,0.905475
"50e303b3-0d84-46dd-a437-62beba435b9b","model_4_auto.bpmn",0.817000,0.991600,0.904800,0.968400,0.915267,0.895872
"9dcb2754-6c53-4a40-8cc5-62bf2e40bab6","model_3_auto.bpmn",0.817200,0.994900,0.904800,0.968400,0.916031,0.897337
"c16d6662-ef65-49d6-8cc8-53aeb5718f10","model_2_auto.bpmn",0.819700,0.994100,0.904800,0.968400,0.916645,0.898516
"272958f4-69a0-47e4-baa4-b31bf178fb11","model_1_auto.bpmn",0.820500,0.995100,0.904800,0.968400,0.917107,0.899405
