modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"03fd51a9-e937-4589-b859-f7f11c77574e","model_82_auto.bpmn",0.729100,0.000000,0.777800,0.907400,0.000000,0.000000
"f87b6cb0-496b-4ca9-9d0b-3a28caeea3d3","model_81_auto.bpmn",0.802500,0.000000,0.760000,0.861900,0.000000,0.000000
"fe873cd8-e189-4f52-aea5-d31621f0d91a","model_80_auto.bpmn",0.826400,0.000000,0.735800,0.911100,0.000000,0.000000
"a5f14be3-ef84-428d-858c-25f6087c7c85","model_79_auto.bpmn",0.720200,0.000000,0.777800,0.907700,0.000000,0.000000
"e6a28342-6400-460a-a5fb-0dcff5cce998","model_78_auto.bpmn",0.681700,0.000000,0.760000,0.861900,0.000000,0.000000
"7305c556-16c9-40fd-86ad-340cb213077f","model_77_auto.bpmn",0.728000,0.000000,0.787200,0.861900,0.000000,0.000000
"89864546-bd9c-4a86-9a11-702113155cb6","model_76_auto.bpmn",0.755200,0.000000,0.714300,0.861900,0.000000,0.000000
"c64b221e-979d-4418-b160-8202bddc07e8","model_75_auto.bpmn",0.741200,0.382300,0.787200,0.912600,0.631811,0.504425
"c499a720-4673-48af-aa69-d1ee6c054101","model_74_auto.bpmn",0.782400,0.498800,0.777800,0.856400,0.697315,0.609212
"65410bad-fba7-4c18-beeb-20bc8ce3fcbd","model_73_auto.bpmn",0.770900,0.000000,0.777800,0.908400,0.000000,0.000000
"8bdfe8f2-03e0-4823-beb6-876939443b38","model_72_auto.bpmn",0.741600,0.000000,0.760000,0.861900,0.000000,0.000000
"efe335fb-c14d-43a7-a464-f9d5ae23e6a5","model_71_auto.bpmn",0.895500,0.483900,0.787200,0.912600,0.720807,0.628291
"d8c17c9e-ca88-4fde-a93d-188a38f9593e","model_70_auto.bpmn",0.729000,0.307000,0.769200,0.866600,0.564728,0.432052
"453f50d3-2e5f-4299-b533-22d760bb87ff","model_69_auto.bpmn",0.821300,0.296500,0.760000,0.861900,0.566069,0.435705
"bdcd2c4a-1750-41c7-af9f-63b895ac31b9","model_68_auto.bpmn",0.851600,0.599800,0.760000,0.911100,0.761202,0.703858
"854162a3-25bb-43ba-9fb7-4ebb450d1093","model_67_auto.bpmn",0.763200,0.000000,0.760000,0.861900,0.000000,0.000000
"1745061f-894a-4f65-b5ce-ea1139eea663","model_66_auto.bpmn",0.853400,0.000000,0.760000,0.861900,0.000000,0.000000
"ccd7be5c-a488-45db-a699-b484cd1bebd1","model_65_auto.bpmn",0.724800,0.000000,0.777800,0.855700,0.000000,0.000000
"9055cd6d-ffff-4eb8-9a82-634dd686c156","model_64_auto.bpmn",0.897600,0.518400,0.818200,0.912600,0.746121,0.657226
"2359810c-30e7-4367-8298-918579dbe98c","model_63_auto.bpmn",0.691700,0.000000,0.777800,0.909100,0.000000,0.000000
"300fee12-ab09-48d1-bf4b-403a0922b334","model_62_auto.bpmn",0.736000,0.000000,0.787200,0.861900,0.000000,0.000000
"8bfa8435-e421-4c69-8108-8b65338d6909","model_61_auto.bpmn",0.855500,0.399200,0.760000,0.861900,0.650413,0.544378
"e53fac58-e0cd-46c0-974d-7a10a798a390","model_60_auto.bpmn",0.729300,0.000000,0.818200,0.912300,0.000000,0.000000
"cf320062-5709-4829-ae88-48a8eb7d41e0","model_59_auto.bpmn",0.813300,0.460400,0.787200,0.861900,0.685855,0.587962
"7d7eef80-13d1-427b-bb81-6ac6ab802c73","model_58_auto.bpmn",0.719500,0.000000,0.760000,0.970100,0.000000,0.000000
"720df3e8-cbf1-4806-b707-8990cee4c8e6","model_57_auto.bpmn",0.743600,0.000000,0.777800,0.906600,0.000000,0.000000
"cd7950b0-f07e-4aee-8259-9ca26fc215ee","model_56_auto.bpmn",0.817300,0.000000,0.888900,0.969800,0.000000,0.000000
"99915d04-5193-4e1e-a8ab-6b14fc43bf44","model_55_auto.bpmn",0.788900,0.000000,0.777800,0.855700,0.000000,0.000000
"c5af363b-8e04-4f22-9a56-115ba3ff5e59","model_54_auto.bpmn",0.715900,0.000000,0.853700,0.911100,0.000000,0.000000
"33efbe13-9cee-4fb4-97a1-3d750d00770f","model_53_auto.bpmn",0.728000,0.000000,0.787200,0.914900,0.000000,0.000000
"a34da415-c622-4f0b-a326-6cfac30c3978","model_52_auto.bpmn",0.785800,0.000000,0.777800,0.907700,0.000000,0.000000
"7affc0e0-a048-49c8-90c6-eb797ef95f24","model_51_auto.bpmn",0.817500,0.332800,0.769200,0.867500,0.598727,0.473031
"73a4a863-4ae5-4948-8d8b-773a13939152","model_50_auto.bpmn",0.823100,0.426700,0.818200,0.912600,0.680683,0.562037
"b0a418f7-6910-4f57-a73c-db542f32f86f","model_49_auto.bpmn",0.780400,0.000000,0.818200,0.855700,0.000000,0.000000
"c0bb8d39-aea2-41cf-89d8-d9c44bb262a7","model_48_auto.bpmn",0.723600,0.000000,0.777800,0.855700,0.000000,0.000000
"e840166e-1d35-490b-b696-ada6d0c2d693","model_47_auto.bpmn",0.737300,0.000000,0.760000,0.861900,0.000000,0.000000
"7f610e6f-716a-42ec-a9b2-669f60a33a84","model_46_auto.bpmn",0.818400,0.417300,0.760000,0.910600,0.663106,0.552753
"040a9546-c51d-4ea7-82bb-53717f8bfde3","model_45_auto.bpmn",0.692100,0.000000,0.769200,0.863100,0.000000,0.000000
"ee376d42-59a7-49d1-8f52-6aa3cb0f09ff","model_44_auto.bpmn",0.822100,0.000000,0.818200,0.912600,0.000000,0.000000
"a44c7b9e-a4b6-404a-ba79-ab3621fb3572","model_43_auto.bpmn",0.809100,0.503700,0.894700,0.970600,0.744985,0.620877
"0b69675d-48d4-42cb-ac95-f2fb532ac6d8","model_42_auto.bpmn",0.615900,0.000000,0.888900,0.906100,0.000000,0.000000
"e5e05427-f029-42eb-9f46-411b73ab2b39","model_41_auto.bpmn",0.703700,0.000000,0.735800,0.861900,0.000000,0.000000
"e38a6934-f8dd-4126-be1f-4af392921961","model_40_auto.bpmn",0.789100,0.200000,0.795900,0.963500,0.467203,0.319118
"6385ce2a-5784-4056-9a7d-84ba10d6c8da","model_39_auto.bpmn",0.810100,0.250000,0.795900,0.867500,0.523314,0.382087
"829b1b05-b7fa-4eaa-974e-992caa33ee78","model_38_auto.bpmn",0.743900,0.000000,0.750000,0.907200,0.000000,0.000000
"43000956-a141-4850-805c-9bf8a1252b45","model_37_auto.bpmn",0.782300,0.000000,0.760000,0.861900,0.000000,0.000000
"808a990f-90dc-4a75-ba1e-69f18d714b82","model_36_auto.bpmn",0.832600,0.000000,0.787200,0.912100,0.000000,0.000000
"58817920-7d6c-46f5-b5be-2d38ad926ff9","model_35_auto.bpmn",0.741700,0.341500,0.853700,0.969500,0.617347,0.467671
"56cc613a-a9ad-4325-97fe-8b1e1b1d0c35","model_34_auto.bpmn",0.754400,0.250000,0.795900,0.867500,0.517148,0.375548
"953adc8c-bc6e-43ed-bead-dfc3a010ebb6","model_33_auto.bpmn",0.822800,0.502200,0.735800,0.861900,0.698581,0.623713
"60711256-c83f-4093-bc35-3f84f6e963c4","model_32_auto.bpmn",0.679700,0.000000,0.800000,0.964200,0.000000,0.000000
"a2540a19-0d18-479e-ae08-6dcf975c733f","model_31_auto.bpmn",0.732300,0.000000,0.809500,0.909100,0.000000,0.000000
"158b70a3-8b88-4629-97ae-c516366768ce","model_30_auto.bpmn",0.721300,0.000000,0.809500,0.855700,0.000000,0.000000
"2eb35ca1-275d-4b4a-83eb-fa9c14aff609","model_29_auto.bpmn",0.810500,0.459600,0.760000,0.861900,0.679622,0.586577
"54d3a647-547c-4cc3-b438-09e0c0d80ac9","model_28_auto.bpmn",0.767300,0.000000,0.809500,0.909100,0.000000,0.000000
"206f9f63-37ac-41dd-8a25-77fa032d69b2","model_27_auto.bpmn",0.749500,0.000000,0.853700,0.910000,0.000000,0.000000
"0683b10f-1e52-48f8-b5e0-651659c71e7d","model_26_auto.bpmn",0.701000,0.000000,0.787200,0.861900,0.000000,0.000000
"342ff987-3959-42f1-bcf0-274f42baa575","model_25_auto.bpmn",0.828300,0.000000,0.760000,0.861900,0.000000,0.000000
"36ad80bb-79eb-42cc-b5f6-9623f8d890f5","model_24_auto.bpmn",0.802600,0.000000,0.795900,0.915900,0.000000,0.000000
"5ba40010-9e8a-4812-9a2a-ef783d981fd2","model_23_auto.bpmn",0.779900,0.000000,0.787200,0.861900,0.000000,0.000000
"32ae5f28-74e3-41fe-8cb2-4554a46c10cd","model_22_auto.bpmn",0.719600,0.000000,0.809500,0.907700,0.000000,0.000000
"38b00ffa-c463-4bff-af02-69af74a81b98","model_21_auto.bpmn",0.764100,0.234900,0.769200,0.915300,0.502610,0.359334
"86031bb5-faca-4018-8e2d-8c314405ff6e","model_20_auto.bpmn",0.799000,0.395400,0.725500,0.907700,0.638907,0.529010
"53fe453a-358a-47e2-bf3b-0b185547ef7e","model_19_auto.bpmn",0.746000,0.333300,0.777800,0.907200,0.594464,0.460746
"87ed59ca-def6-4d46-8b9e-97baa056e63a","model_18_auto.bpmn",0.783300,0.250000,0.787200,0.910700,0.523216,0.379028
"df9eba71-3539-4ce7-96da-32767ef01e18","model_17_auto.bpmn",0.834800,0.500000,0.787200,0.861900,0.710676,0.625412
"1bef7b1f-71f6-4276-b423-de8ac92c46f4","model_16_auto.bpmn",0.838000,0.000000,0.760000,0.861900,0.000000,0.000000
"acccdca0-bdb3-4ded-9c23-7d6b5f916555","model_15_auto.bpmn",0.758700,0.200000,0.745500,0.915300,0.457040,0.316554
"a01f366c-10c6-44de-92a8-75eb2067ad58","model_14_auto.bpmn",0.776400,0.000000,0.818200,0.912600,0.000000,0.000000
"19a6e7a7-3d37-4e5a-95aa-eaa4c0ebdef6","model_13_auto.bpmn",0.838900,0.000000,0.787200,0.911700,0.000000,0.000000
"d3c7283c-7d75-4c9f-b422-f2e9814c49b8","model_12_auto.bpmn",0.826400,0.000000,0.777800,0.855700,0.000000,0.000000
"1a146177-039e-422a-bdd3-58d8f20927ca","model_11_auto.bpmn",0.811800,0.307000,0.760000,0.861900,0.574286,0.445518
"0468c511-6d61-4113-92dd-19f8327e7779","model_10_auto.bpmn",0.678700,0.000000,0.760000,0.861900,0.000000,0.000000
"a57d4951-afdd-4c1c-b053-212fe0bce769","model_9_auto.bpmn",0.740800,0.250000,0.760000,0.861900,0.511123,0.373839
"8c470b49-36c8-4966-8217-52ee6d22d245","model_8_auto.bpmn",0.810200,0.632700,0.846200,0.906100,0.784287,0.710532
"a5abf6a6-aa1f-446f-aa94-a90950439c7d","model_7_auto.bpmn",0.807900,0.273400,0.745500,0.867500,0.541306,0.408545
"77382c80-2a63-4ce2-8e71-d7248e47b93a","model_6_auto.bpmn",0.765600,0.332800,0.795900,0.915700,0.600648,0.463932
"447bb1d6-e284-4013-87f1-997d8141474e","model_5_auto.bpmn",0.689600,0.000000,0.853700,0.964300,0.000000,0.000000
"47ae1027-706b-40e5-b71a-eb4914fa86e8","model_4_auto.bpmn",0.811600,0.000000,0.787200,0.912600,0.000000,0.000000
"15899972-1728-4a55-9f44-f9234eca3704","model_3_auto.bpmn",0.623000,0.000000,0.795900,0.912500,0.000000,0.000000
"0e6c49c0-5b08-46d5-b09f-1cbc3af36bc7","model_2_auto.bpmn",0.780700,0.000000,0.694900,0.861900,0.000000,0.000000
"743294d5-c4b9-48ed-aa72-76be8c924441","model_1_auto.bpmn",0.801600,0.000000,0.735800,0.912100,0.000000,0.000000
