modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"6bbc550a-e72f-4129-9c6b-ad0570dedbc7","model_15_auto.bpmn",0.864500,1.000000,0.942900,0.967600,0.941004,0.927326
"42087a0f-0b8f-4b3c-ae2b-bc94701ed458","model_14_auto.bpmn",0.879100,1.000000,0.900000,0.967700,0.934139,0.935661
"aaaa019e-50d2-4019-a9d2-2dd2f732f121","model_13_auto.bpmn",0.878800,1.000000,0.900000,0.967700,0.934055,0.935491
"ddbbf495-9d19-41e4-8b17-3f73d76e7db0","model_12_auto.bpmn",0.865200,1.000000,0.942900,0.967600,0.941211,0.927729
"377f5da1-93e5-42e7-89b0-3d1f3fee2fcb","model_11_auto.bpmn",0.864500,1.000000,0.942900,0.967600,0.941004,0.927326
"e89d6e23-0942-4dff-9e76-946fb2f4eec2","model_10_auto.bpmn",0.903800,1.000000,0.900000,0.967700,0.940971,0.949469
"53969c2f-8611-4dc4-bbeb-d378f1fc2e56","model_9_auto.bpmn",0.904800,1.000000,0.900000,0.967700,0.941242,0.950021
"b9d9ec28-fb3f-4ecb-8f49-1aa93035a94f","model_8_auto.bpmn",0.865700,1.000000,0.942900,0.967600,0.941359,0.928016
"5d068449-acb0-4601-9da7-403a1aa757eb","model_7_auto.bpmn",0.903600,1.000000,0.900000,0.967700,0.940917,0.949359
"20132b7c-3078-4610-b9e7-81cb6215d99b","model_6_auto.bpmn",0.865000,1.000000,0.942900,0.967600,0.941152,0.927614
"767515e8-3fff-4405-aba6-db6093f8a152","model_5_auto.bpmn",0.904700,1.000000,0.900000,0.967700,0.941215,0.949966
"a523e567-343f-40ed-a78b-fcdcee184ab8","model_4_auto.bpmn",0.904100,1.000000,0.900000,0.967700,0.941052,0.949635
"9763bf70-1513-46b3-8d2f-27e2f79168ec","model_3_auto.bpmn",0.904300,1.000000,0.900000,0.967700,0.941106,0.949745
"e6d5599d-6953-44de-a548-b8ec3de9a704","model_2_auto.bpmn",0.865700,1.000000,0.942900,0.967600,0.941359,0.928016
"22db0c32-f600-4e03-b497-754139190d1e","model_1_auto.bpmn",0.877400,1.000000,0.900000,0.967700,0.933659,0.934697
