modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"6b9db090-2d89-4a13-8ae4-9bf797b7cc65","model_93_auto.bpmn",0.846300,0.800000,0.866700,0.967200,0.865927,0.822499
"1173ddee-0d9a-4100-9aef-f2cf0c5646a4","model_92_auto.bpmn",0.896100,0.916400,0.818200,0.891900,0.879011,0.906136
"a404f09a-b941-4abc-afb0-3ec66a181a04","model_91_auto.bpmn",0.810800,0.000000,0.866700,0.891900,0.000000,0.000000
"27fa4b53-646c-4b93-b6e0-3174d88910f7","model_90_auto.bpmn",0.814500,0.880900,0.925900,0.966000,0.893221,0.846400
"32e912e8-079e-4288-9c63-c0761eba4ab9","model_89_auto.bpmn",0.849400,0.852500,1.000000,0.967200,0.912360,0.850947
"13ddf5a0-1640-4b8a-b070-0e9e0bf635e4","model_88_auto.bpmn",0.872300,0.829000,0.931000,0.967300,0.896743,0.850099
"1a72220c-48c6-4155-ba0c-f26dca9d5392","model_87_auto.bpmn",0.817500,0.874500,0.925900,0.966000,0.892463,0.845040
"45885d8e-e1e7-457f-833a-f7a4e2cd14f9","model_86_auto.bpmn",0.846300,0.000000,0.866700,0.967200,0.000000,0.000000
"b6caf6cb-411c-4d0e-9083-9f8a2d50b568","model_85_auto.bpmn",0.748500,0.000000,0.920000,0.967100,0.000000,0.000000
"d55266b9-9304-4dd3-adbb-813aacb32816","model_84_auto.bpmn",0.934300,0.886500,0.777800,0.891900,0.868577,0.909773
"de9dfb75-b3d1-4820-9593-9af89a8b3f82","model_83_auto.bpmn",0.778600,0.881100,0.920000,0.967100,0.881003,0.826685
"a369577e-57b8-4781-9cbb-34df4371b330","model_82_auto.bpmn",0.693900,0.914400,0.925900,0.966000,0.860221,0.789035
"30c5bd6b-14ff-4708-9c8f-33816a5aa83d","model_81_auto.bpmn",0.890900,0.990400,0.925900,0.967200,0.942042,0.938019
"359b89d2-e544-413e-8094-97024659ce59","model_80_auto.bpmn",0.931400,0.964400,0.818200,0.891900,0.898076,0.947613
"e429b30a-53c3-496c-8d66-d4f228f216a1","model_79_auto.bpmn",0.858100,0.000000,0.818200,0.891900,0.000000,0.000000
"b8cea47f-733a-4a0c-82dc-7bd0af4bc168","model_78_auto.bpmn",0.809200,0.800000,0.875000,0.966200,0.857701,0.804574
"caeeb905-44e1-41d1-8acb-bcedc8dc762d","model_77_auto.bpmn",0.817700,0.875100,0.925900,0.966000,0.892679,0.845427
"d50a1ca7-7e6e-4484-8928-9252028d24c6","model_76_auto.bpmn",0.822800,0.000000,0.925900,0.966800,0.000000,0.000000
"7b90214f-8d2a-4095-b3d8-9d6be06b9e93","model_75_auto.bpmn",0.809900,0.000000,0.866700,0.966000,0.000000,0.000000
"cf9cd7c0-fee0-49dc-8000-53935bf53805","model_74_auto.bpmn",0.774700,0.769700,0.931000,0.966200,0.851222,0.772192
"63c4a313-d916-4faf-9945-8537bc1ceb96","model_73_auto.bpmn",0.893000,0.866200,0.818200,0.891900,0.866235,0.879396
"f99669af-37ae-47bb-80c9-88d6737f7a55","model_72_auto.bpmn",0.802000,0.000000,0.866700,0.891900,0.000000,0.000000
"b709bdc4-0a4f-4501-ae27-45c4ad0729af","model_71_auto.bpmn",0.757200,0.000000,0.925900,0.966000,0.000000,0.000000
"afcfd619-935e-4ec2-bd7c-e7b34729dfc7","model_70_auto.bpmn",0.845900,0.991800,0.818200,0.964700,0.899032,0.913058
"7ab99a3b-5cd0-4d35-8471-035267145a55","model_69_auto.bpmn",0.748000,0.000000,0.857100,0.967100,0.000000,0.000000
"86fa9ddd-6e8a-4de1-8e0f-f73129548f31","model_68_auto.bpmn",0.883700,0.874600,0.828600,0.966200,0.885578,0.879126
"684dc9d8-26df-4c12-81db-db90372ad1af","model_67_auto.bpmn",0.966500,0.950100,0.777800,0.891900,0.890063,0.958230
"d36cc92a-ffd5-4a19-9d24-39deaad4b3af","model_66_auto.bpmn",0.862000,0.000000,0.818200,0.891900,0.000000,0.000000
"7b64a040-f90e-4d9f-938c-5e866b6c1cd2","model_65_auto.bpmn",0.889200,0.890800,0.818200,0.891900,0.871348,0.889999
"ada06cfc-63f8-46db-aa5d-d9d30e1de0c7","model_64_auto.bpmn",0.832800,0.000000,0.818200,0.962200,0.000000,0.000000
"6cb67adb-d814-4562-87cd-cf5715524030","model_63_auto.bpmn",0.893000,0.874500,0.818200,0.891900,0.868295,0.883653
"d802bdc2-8f86-4cf7-b184-e7197e9dba22","model_62_auto.bpmn",0.824000,0.783900,0.875000,0.966200,0.857062,0.803450
"990ffc10-986a-447f-8924-900d2c3ec886","model_61_auto.bpmn",0.828500,0.753300,0.931000,0.966200,0.861403,0.789112
"1372d4ed-3c5c-4b7a-8f3f-a37adf0d9e27","model_60_auto.bpmn",0.748500,0.000000,0.920000,0.967100,0.000000,0.000000
"b5098915-836d-49ea-afaf-cd61f923b160","model_59_auto.bpmn",0.844900,0.000000,0.818200,0.962200,0.000000,0.000000
"fd4df41b-2041-4154-91f7-d9816ab3cbdd","model_58_auto.bpmn",0.895800,0.779300,0.818200,0.891900,0.843362,0.833499
"7eb41547-d9fd-49b9-b0f9-a94c60d326ce","model_57_auto.bpmn",0.817500,0.874500,0.925900,0.966000,0.892463,0.845040
"96660d62-3837-4843-bea4-d32821c5f5ca","model_56_auto.bpmn",0.935300,0.823900,0.777800,0.891900,0.852916,0.876073
"fd4031f7-bbd3-4853-a38d-164bf9c31626","model_55_auto.bpmn",0.810800,0.000000,0.866700,0.891900,0.000000,0.000000
"18cc0fd5-b81e-4e60-8a48-7a22a08ec4ec","model_54_auto.bpmn",0.856100,0.000000,0.818200,0.891900,0.000000,0.000000
"caf36e05-0065-4136-8b2d-2e506ea8fae2","model_53_auto.bpmn",0.894400,0.861900,0.818200,0.891900,0.865484,0.877849
"e0274514-3721-4ab9-9d08-90c1f090765a","model_52_auto.bpmn",0.727600,0.000000,0.866700,0.891900,0.000000,0.000000
"deb48da3-94bf-4f91-8afd-d7723667dad7","model_51_auto.bpmn",0.794700,0.769700,0.925900,0.967200,0.856258,0.782000
"3373c60b-721f-46c1-b5f7-2797eed66865","model_50_auto.bpmn",0.773100,0.872800,0.925900,0.966000,0.878260,0.819930
"7a6ea091-d6d8-4296-afbc-8990ef3a247a","model_49_auto.bpmn",0.852300,0.000000,0.818200,0.891900,0.000000,0.000000
"f2c04a47-3003-44e3-96a0-6b42bbee5d04","model_48_auto.bpmn",0.779900,0.859500,0.925900,0.966000,0.877018,0.817768
"633d17df-b518-4ef4-9620-f50dbaf60ba1","model_47_auto.bpmn",0.766200,0.942100,0.866700,0.891900,0.861771,0.845094
"99ce105d-fce7-4405-9d59-a85fc93e575d","model_46_auto.bpmn",0.746200,0.890300,0.920000,0.967100,0.872540,0.811906
"b0221e53-33f3-4370-8ee8-7553acc3d810","model_45_auto.bpmn",0.789200,0.000000,0.866700,0.966000,0.000000,0.000000
"f3634452-3c9f-41bb-aa97-3a7c7a9fbb67","model_44_auto.bpmn",0.821100,0.000000,0.925900,0.966000,0.000000,0.000000
"b6411eaa-a06e-4ac7-b178-2effce66b842","model_43_auto.bpmn",0.877400,0.841900,0.875000,0.966200,0.887831,0.859283
"4caab86f-693d-4aa5-badf-aa0a73d078bb","model_42_auto.bpmn",0.845400,0.000000,0.866700,0.966000,0.000000,0.000000
"b021cdf1-763c-42ab-b0ee-b2962deca8d7","model_41_auto.bpmn",0.773800,0.955900,1.000000,0.967100,0.914813,0.855264
"152feae7-f479-4825-b090-9206639fc138","model_40_auto.bpmn",0.874700,0.801000,0.818200,0.967200,0.860623,0.836229
"9b6d174c-97a8-44c9-bd01-b851d68b387e","model_39_auto.bpmn",0.875900,0.967800,0.818200,0.962200,0.901625,0.919560
"789bad21-7c9f-425e-8e00-f27b67e95809","model_38_auto.bpmn",0.752200,0.732300,0.925900,0.967200,0.831785,0.742117
"c9612b4a-7483-452f-944b-22f3540d9286","model_37_auto.bpmn",0.791900,0.910700,0.920000,0.965700,0.892197,0.847155
"d67346ba-1b4a-4374-95c4-357cd884b72d","model_36_auto.bpmn",0.793000,0.845500,0.925900,0.967200,0.877634,0.818409
"7da6929f-ff96-4f3c-839b-8d4ec38eef21","model_35_auto.bpmn",0.896900,0.889000,0.875000,0.966200,0.905459,0.892933
"a7e149d8-7d68-48c6-8887-982fc1335cfe","model_34_auto.bpmn",0.854700,0.797800,0.866700,0.967200,0.867460,0.825270
"cb02e4f2-f9fd-437e-8041-82f90c2941d7","model_33_auto.bpmn",0.857400,0.791200,0.875000,0.966200,0.868044,0.822971
"b9f7fab9-fca8-423f-816c-a6f85ea94c66","model_32_auto.bpmn",0.768400,0.707100,0.925900,0.967200,0.828230,0.736477
"00c54526-b2fb-419d-9bc2-a0d4cd131288","model_31_auto.bpmn",0.776200,0.000000,0.866700,0.966000,0.000000,0.000000
"f4284a4e-fd4a-4d07-8619-dba166915f16","model_30_auto.bpmn",0.798900,0.000000,0.925900,0.966000,0.000000,0.000000
"9ae61835-e9ed-4119-895b-222fd836ae93","model_29_auto.bpmn",0.821000,0.986700,1.000000,0.967100,0.937751,0.896256
"6b7ac59b-e3c4-407f-850e-bff35723a8fa","model_28_auto.bpmn",0.778800,0.997400,0.925900,0.966000,0.908707,0.874648
"38022963-513c-43ac-8cfc-739b3b461680","model_27_auto.bpmn",0.842500,0.000000,0.866700,0.891900,0.000000,0.000000
"5c876bce-c9e5-4f24-a1f7-c484a7d6d67d","model_26_auto.bpmn",0.855000,0.847200,0.925900,0.967200,0.896079,0.851082
"7f98ae32-cf39-497f-b069-b7e5cda10f33","model_25_auto.bpmn",0.889900,0.000000,0.818200,0.891900,0.000000,0.000000
"955b5cc5-2f44-4c71-bff9-6869c4a8162d","model_24_auto.bpmn",0.810800,0.000000,0.866700,0.891900,0.000000,0.000000
"62064d6f-32bb-4b99-9951-ea2f566f2e0f","model_23_auto.bpmn",0.845400,0.000000,0.866700,0.966000,0.000000,0.000000
"2ab7a8b7-5b1f-45dd-8f68-5631332ffbf4","model_22_auto.bpmn",0.914200,0.882400,0.818200,0.964700,0.891680,0.898019
"62e23362-39df-4807-ade0-0d0425400b98","model_21_auto.bpmn",0.839900,0.757900,0.925900,0.967200,0.865053,0.796796
"97ec75b7-43f8-462d-94c0-6cea552b1fbc","model_20_auto.bpmn",0.861400,0.790600,0.875000,0.966200,0.868885,0.824483
"43c386ae-9b81-4b6d-a661-aa8556bc8da2","model_19_auto.bpmn",0.782600,0.769700,1.000000,0.967200,0.867507,0.776096
"c7de69d7-e05c-42a6-8c9c-2a9795a6507d","model_18_auto.bpmn",0.826900,0.884600,0.866700,0.966000,0.883238,0.854777
"a79b22ba-36b4-4de4-9ed5-03548fb53248","model_17_auto.bpmn",0.807500,0.778500,0.875000,0.966200,0.850928,0.792735
"8a48b55b-20ca-4f3c-83f9-dec4f36b5110","model_16_auto.bpmn",0.698800,0.000000,0.925900,0.966000,0.000000,0.000000
"8bdb1e60-65c0-4c1b-9346-d987963c8035","model_15_auto.bpmn",0.857400,0.840100,0.875000,0.966200,0.882128,0.848662
"12c3c235-c289-4649-b51b-7345fdea521e","model_14_auto.bpmn",0.813400,0.861100,0.866700,0.966000,0.873418,0.836571
"49b96ea8-bb32-4bc3-8b59-32ea92233987","model_13_auto.bpmn",0.846100,0.832300,0.866700,0.966000,0.874818,0.839143
"200aa4af-0919-4917-8446-6f352d8e96c7","model_12_auto.bpmn",0.797700,0.814300,0.925900,0.967200,0.870399,0.805915
