modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"6a539e6e-14d1-4265-aef0-d214f6697dca","model_76_auto.bpmn",0.814200,0.000000,0.837800,0.965400,0.000000,0.000000
"0c16a445-98d7-4b23-ab9c-c2c19aef3ab8","model_75_auto.bpmn",0.810200,0.810200,0.888900,0.964100,0.863791,0.810200
"029a5e53-bb55-4caa-823c-aad3d84e72db","model_74_auto.bpmn",0.851100,0.863500,0.875000,0.965500,0.886600,0.857255
"6b587888-a316-420d-8faf-65c3f3c5330f","model_73_auto.bpmn",0.757900,0.445400,0.875000,0.965500,0.696476,0.561071
"60bf6b5a-da3c-4e49-99dc-05cd12c55416","model_72_auto.bpmn",0.751400,0.000000,0.875000,0.965200,0.000000,0.000000
"ded97ef8-ba2c-4482-aba5-3f874f8e79e3","model_71_auto.bpmn",0.794900,0.000000,0.882400,0.965700,0.000000,0.000000
"3aad5c7b-54b9-47bb-afdb-70f7df64ad7b","model_70_auto.bpmn",0.751400,0.000000,0.875000,0.965200,0.000000,0.000000
"eacb6a95-22f1-49ff-8f17-af2ff4a689de","model_69_auto.bpmn",0.884600,0.860100,0.846200,0.965600,0.886822,0.872178
"5656ffee-41ed-4381-9bad-f5708bba5b12","model_68_auto.bpmn",0.729400,1.000000,0.931000,0.965200,0.892626,0.843530
"a9992542-61bc-439b-af62-5cb57beeef7b","model_67_auto.bpmn",0.816600,0.734600,0.875000,0.965500,0.839549,0.773433
"b1e46937-5fac-409b-8a55-b153653ed0be","model_66_auto.bpmn",0.817700,0.850900,0.875000,0.965500,0.873981,0.833970
"1556d078-a144-4d56-bef2-2ea4689f05e3","model_65_auto.bpmn",0.663900,0.000000,0.925900,0.965300,0.000000,0.000000
"885049d9-c570-4cc5-b0ab-30b67e0a719e","model_64_auto.bpmn",0.786500,0.794500,0.875000,0.965200,0.849433,0.790480
"fe63baf2-38b0-48f9-bb29-e65c6097b412","model_63_auto.bpmn",0.837400,0.952300,0.828600,0.965200,0.891430,0.891162
"e30b270e-9c49-41f7-afee-72743470fc79","model_62_auto.bpmn",0.751700,0.500000,0.875000,0.965200,0.726054,0.600543
"bc53b781-b7be-47e9-8b9d-731d55a26d13","model_61_auto.bpmn",0.689100,0.500000,0.866700,0.965300,0.709105,0.579514
"e2b1de1c-7d05-488a-b6cb-27a7c720a448","model_60_auto.bpmn",0.705600,0.500000,0.925900,0.965300,0.722908,0.585269
"3a7f79cf-72c7-4814-a848-db7e0310a823","model_59_auto.bpmn",0.750200,0.000000,0.875000,0.965200,0.000000,0.000000
"3db90a25-f11f-4acd-a30b-0fe26b564bac","model_58_auto.bpmn",0.746400,0.333300,0.875000,0.965500,0.613624,0.460823
"552ed841-7e0f-4b25-af4c-93bf6dab3faa","model_57_auto.bpmn",0.689100,0.000000,0.866700,0.965300,0.000000,0.000000
"9266c1a3-e449-4dff-aee8-cb6cf49b2cff","model_56_auto.bpmn",0.749000,0.000000,0.875000,0.965200,0.000000,0.000000
"c14e46ff-0fc9-446f-9b28-4fddcf93f9d9","model_55_auto.bpmn",0.766000,0.709600,0.846200,0.964100,0.810748,0.736722
"280087b6-3815-4623-b15d-98a3e6e5604d","model_54_auto.bpmn",0.767800,0.445400,0.882400,0.965400,0.699703,0.563762
"73c74ef2-2362-4aa4-a07f-5da6af830c03","model_53_auto.bpmn",0.717400,0.000000,0.875000,0.965200,0.000000,0.000000
"258c6cf8-f67e-4bf7-88de-c47dd002b560","model_52_auto.bpmn",0.803000,0.831100,0.882400,0.965400,0.866238,0.816808
"103f14d6-ee34-467b-a240-65397b99f4c8","model_51_auto.bpmn",0.815200,0.681700,0.837800,0.965400,0.812503,0.742497
