modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"99450c67-001f-4793-9893-7947f137e164","model_71_auto.bpmn",0.836800,0.250000,0.931000,0.962400,0.547330,0.384983
"87e5c5f5-6d04-4b1f-b60b-0b27f3176d25","model_70_auto.bpmn",0.744900,0.000000,0.882400,0.898700,0.000000,0.000000
"2413aec9-5659-42cf-bdcc-dfa5f8a6aa32","model_69_auto.bpmn",0.877100,0.000000,0.846200,0.963100,0.000000,0.000000
"c0dfa810-8485-4366-aee2-c526b9bafc2f","model_68_auto.bpmn",0.896400,0.000000,0.888900,0.903100,0.000000,0.000000
"86528e57-1703-462b-b5e1-9e17bbee25e3","model_67_auto.bpmn",0.885500,0.000000,0.935500,0.962800,0.000000,0.000000
"98eb4735-2fef-491c-8a16-18238c5a7da6","model_66_auto.bpmn",0.966200,0.458300,0.828600,0.962400,0.732214,0.621705
"a36111dc-8022-480e-ab66-ac77eb307f3f","model_65_auto.bpmn",0.794500,0.400000,0.931000,0.962400,0.681218,0.532105
"993dffac-9762-4cbe-bc93-078175f96b63","model_64_auto.bpmn",0.863500,0.250000,0.837800,0.898700,0.535877,0.387741
"2638759e-85e5-4d03-94d1-4003033ab8a4","model_63_auto.bpmn",1.000000,0.419400,0.846200,0.963100,0.713722,0.590954
"cfb25162-f518-458c-b81b-860bf2cfed71","model_62_auto.bpmn",0.815500,0.250000,0.882400,0.898700,0.535315,0.382684
"cdf97d4b-3b4d-4899-bfa7-4fa296d7bfee","model_61_auto.bpmn",0.869000,0.000000,0.837800,0.962800,0.000000,0.000000
"a0de29c4-c8bf-41b7-b4b6-2aea38047c9a","model_60_auto.bpmn",0.900600,0.400000,0.888900,0.963100,0.692800,0.553960
"9e9d0833-1489-469a-b34a-01c4c2e4bd64","model_59_auto.bpmn",0.828100,0.000000,0.888900,0.903100,0.000000,0.000000
"e4e498d6-3b37-48ac-90c0-4f2beb8a3903","model_58_auto.bpmn",1.000000,0.455900,0.828600,0.962400,0.735377,0.626279
"46e86a13-3d32-4853-9d0c-584cb05ef5f7","model_57_auto.bpmn",0.963600,0.402100,0.875000,0.962400,0.700937,0.567421
"a6c49f03-8d21-40a3-ab4b-d3afe22fab24","model_56_auto.bpmn",0.966200,0.392100,0.828600,0.962400,0.685956,0.557825
"6c13479f-fdca-4318-8bef-3a0e35580a25","model_55_auto.bpmn",0.815500,0.000000,0.882400,0.898700,0.000000,0.000000
"f1c7d3ea-ae7c-4f5a-9f6d-247aea014475","model_54_auto.bpmn",0.877100,0.000000,0.846200,0.963100,0.000000,0.000000
"69cae1e0-1cdd-4427-bd46-923e2a9d2880","model_53_auto.bpmn",0.924600,0.265400,0.875000,0.962400,0.568879,0.412418
"cdc3cb88-e839-439a-8704-8bb60272ef51","model_52_auto.bpmn",0.942100,0.000000,0.853700,0.963400,0.000000,0.000000
"85e7b89a-8e0c-45cf-b94b-01bd2a8abdfa","model_51_auto.bpmn",0.942100,0.000000,0.853700,0.963400,0.000000,0.000000
"171ef74e-3596-4af0-9d3f-ec097a9193bf","model_50_auto.bpmn",0.970400,0.342600,0.846200,0.963100,0.648359,0.506411
"f38c5eda-4bc2-4832-b707-b785247dfeab","model_49_auto.bpmn",1.000000,0.412500,0.837800,0.962800,0.707153,0.584071
"fde725e5-3a75-494f-860e-9eeffa713113","model_48_auto.bpmn",0.924600,0.331300,0.875000,0.962400,0.636751,0.487810
"00a53e90-d568-487a-8450-c47d24b8e4ed","model_47_auto.bpmn",0.773700,0.400000,0.875000,0.962400,0.669521,0.527358
"50eaca89-7b6f-4f3a-8815-a5ef891f7edd","model_46_auto.bpmn",0.888800,0.250000,0.882400,0.898700,0.542660,0.390235
"6e7dbe48-0974-442e-9c30-b78fdeb05d89","model_45_auto.bpmn",1.000000,0.419400,0.837800,0.962800,0.712175,0.590954
"7cbec71e-a949-4895-8d25-c84d64021fd5","model_44_auto.bpmn",1.000000,0.464300,0.828600,0.962400,0.740781,0.634160
"a2779286-4843-42c8-9335-a133ee02dec1","model_43_auto.bpmn",0.960900,0.571400,0.875000,0.962400,0.804391,0.716646
"ddc9cb43-7601-4c5e-8865-8408c27510d3","model_42_auto.bpmn",1.000000,0.464300,0.828600,0.962400,0.740781,0.634160
"f27a2bc3-75ed-44d6-91fb-3648643d474d","model_41_auto.bpmn",0.856300,0.000000,0.853700,0.963400,0.000000,0.000000
"cafbb8f3-2c88-4548-b532-67f4d772f2c1","model_40_auto.bpmn",0.762300,0.000000,0.888900,0.903100,0.000000,0.000000
"a258f564-574b-4e71-b00d-2c60c4112dce","model_39_auto.bpmn",0.963700,0.345300,0.882400,0.962800,0.655135,0.508427
"3997b0ae-e464-4dad-a6ad-8fcbfded0c53","model_38_auto.bpmn",0.818100,0.000000,0.882400,0.898700,0.000000,0.000000
"b93b316c-adf8-40fd-b03b-2ccc5db30101","model_37_auto.bpmn",0.869000,0.250000,0.837800,0.962800,0.541786,0.388293
"b1942507-5804-46e1-84cf-b4aaeab27fcb","model_36_auto.bpmn",0.849100,0.250000,0.875000,0.962400,0.543505,0.386271
"2e48c3d2-67f9-48a1-be03-bed936d39daf","model_35_auto.bpmn",0.968400,0.342600,0.837800,0.962800,0.646859,0.506139
