modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"b3d664d1-f764-41ad-8a53-c1279de4a7e6","model_49_auto.bpmn",0.915300,0.996800,0.787200,0.915400,0.897164,0.954313
"04d64dc0-e2e1-4f5f-9670-23f588983d6c","model_48_auto.bpmn",0.907400,0.995700,0.818200,0.915200,0.904727,0.949502
"27a4bb61-df89-48cf-be49-86262509b8ab","model_47_auto.bpmn",0.909200,0.993000,0.818200,0.915000,0.904566,0.949254
"1d4bd468-ecfb-42ac-a246-1a58764e251c","model_46_auto.bpmn",0.907600,0.993500,0.818200,0.915300,0.904347,0.948609
"5815c2d5-50e0-46be-bbd9-6fb3b5d88090","model_45_auto.bpmn",0.907800,0.993700,0.818200,0.915300,0.904438,0.948810
"f2dd9ef5-c0c7-449c-8ecf-5d614b684e57","model_44_auto.bpmn",0.914100,0.994500,0.787200,0.915300,0.896386,0.952607
"3c0ec5be-94dd-4b38-88af-29f87b884483","model_43_auto.bpmn",0.958600,0.946900,0.769200,0.919300,0.891444,0.952714
"f4bc0e8d-a9db-4685-9d12-1b0935cfe4b2","model_42_auto.bpmn",0.907400,0.995700,0.818200,0.915300,0.904752,0.949502
"d41b3566-a1ba-4d92-987f-a25aab941530","model_41_auto.bpmn",0.934100,0.948500,0.795900,0.919300,0.895041,0.941245
"7d4bc4b6-0ae8-4166-b8b8-7ea40d00bbfc","model_40_auto.bpmn",0.914100,0.994500,0.787200,0.915300,0.896386,0.952607
"d43d378b-e72f-4207-a4f0-6285a6b3eece","model_39_auto.bpmn",0.959200,0.945300,0.769200,0.919100,0.891172,0.952199
"ad2fb0b4-61b5-48f4-86ed-a8493354d0d6","model_38_auto.bpmn",0.942600,0.995800,0.760000,0.915400,0.894190,0.968470
"ae51f2dc-ec83-4f7e-a661-49d9556fa859","model_37_auto.bpmn",0.907600,0.992800,0.818200,0.915200,0.904177,0.948290
"1f9cd608-c1ab-42b9-a77f-585ca14a1ac6","model_36_auto.bpmn",0.937400,0.994800,0.787200,0.915000,0.901870,0.965247
"db7d8002-a11d-420c-8394-76af9a6430ac","model_35_auto.bpmn",0.907600,0.993400,0.818200,0.915300,0.904326,0.948564
"39ed78d1-fe97-4e5f-b620-725fb3aad637","model_34_auto.bpmn",0.936200,0.948000,0.760000,0.916500,0.883022,0.942063
"0f3a7ffc-8dfe-4c14-81db-3837aeaff113","model_33_auto.bpmn",0.955100,1.000000,0.760000,0.916400,0.898064,0.977034
"1870556a-d46a-4651-887b-47d83f79a47a","model_32_auto.bpmn",0.907800,0.995500,0.818200,0.915300,0.904810,0.949629
"3dc0959b-e4fb-4e83-a28a-7ee3acf561ed","model_31_auto.bpmn",0.915600,0.992400,0.787200,0.915100,0.896270,0.952454
"1cef2dba-78f2-4926-981d-7bfe1a39f790","model_30_auto.bpmn",0.954300,1.000000,0.760000,0.916500,0.897911,0.976616
"aa536979-0e64-4d37-a079-476a2f64dd2b","model_29_auto.bpmn",0.938800,0.992600,0.787200,0.915000,0.901740,0.964951
"2e008bcf-7b16-4229-9927-11c98ac49f63","model_28_auto.bpmn",0.929400,1.000000,0.787200,0.916200,0.901357,0.963408
"7090366c-5c06-4e5f-ba24-c87db2942448","model_27_auto.bpmn",0.915600,0.992400,0.787200,0.915100,0.896270,0.952454
"c12ceb7f-83c0-4436-a0e2-20e2290accd1","model_26_auto.bpmn",0.907900,0.995700,0.818200,0.915000,0.904803,0.949775
"b76147db-6a9e-4f4a-ab34-41f92f1cfab1","model_25_auto.bpmn",0.915300,0.996800,0.787200,0.915400,0.897164,0.954313
"97bfe0c9-3788-4047-bc5e-d41e86dbdce1","model_24_auto.bpmn",0.937200,0.992900,0.787200,0.915300,0.901506,0.964246
