modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"386f9e11-d52f-4a6d-a577-38a16ef4e407","model_16_auto.bpmn",0.803100,0.816900,0.828600,0.884500,0.832163,0.809941
"7ac41306-ef54-402f-a3ee-015cb369717d","model_15_auto.bpmn",0.672400,0.657500,0.866700,0.880100,0.754979,0.664867
"30e643be-f146-4169-a0e6-2c4d23bd125e","model_14_auto.bpmn",0.802500,0.816900,0.818200,0.880100,0.828385,0.809636
"b212b84f-0db8-4810-b9a3-97bd705267c5","model_13_auto.bpmn",0.754400,0.660300,0.837800,0.949200,0.786296,0.704220
"a973accb-4b8b-4ea2-98ab-125c35020a7f","model_12_auto.bpmn",0.755500,0.942400,0.866700,0.880100,0.855655,0.838663
"7ef30123-9ddf-4047-be0f-7cf94fba6e51","model_11_auto.bpmn",0.810900,0.871100,0.818200,0.880100,0.843953,0.839923
"720b7e4a-cb55-4733-8025-1c4e28c1ec7c","model_10_auto.bpmn",0.752300,0.660300,0.828600,0.949400,0.783719,0.703304
"7697f15c-3e84-4830-ac29-91dd2e42b510","model_9_auto.bpmn",0.735900,0.754500,0.818200,0.880100,0.793227,0.745084
"64009266-e521-49b5-8541-b4ebe5bec95b","model_8_auto.bpmn",0.672400,0.657500,0.866700,0.880100,0.754979,0.664867
"0ddaf754-767e-4b12-b150-faba1cc3006c","model_7_auto.bpmn",0.755800,0.764600,0.866700,0.948400,0.826586,0.760175
"818a3caf-88d2-4aed-adbc-f49f7fd470f5","model_6_auto.bpmn",0.760100,0.660300,0.828600,0.949400,0.785819,0.706694
"e3a06618-0b9e-42ef-994b-74c3d2ae68dc","model_5_auto.bpmn",0.810900,0.816900,0.818200,0.880100,0.830605,0.813889
"a9d8599b-e3b5-443c-8d1a-be9582c37d7d","model_4_auto.bpmn",0.672400,0.657500,0.866700,0.880100,0.754979,0.664867
"404e31d6-8936-4c5a-a0e5-80f5b9cc4e51","model_3_auto.bpmn",0.735900,0.837100,0.818200,0.880100,0.814347,0.783245
"e54dd6da-fa05-4ade-a055-226350c30a8c","model_2_auto.bpmn",0.810900,0.816900,0.818200,0.880100,0.830605,0.813889
"551227b9-fd09-4004-98bd-aecdf4d37ae5","model_1_auto.bpmn",0.763500,0.939900,0.866700,0.880100,0.857681,0.842566
