modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"4d547cf8-6de6-47cf-8678-21ecbc6d7fab","model_98_auto.bpmn",0.827000,0.808400,0.860500,0.967400,0.861695,0.817594
"ad18a2b1-3345-4bb5-86de-0da3e8bd24e2","model_97_auto.bpmn",0.819600,0.981600,0.894700,0.966700,0.910956,0.893315
"fb4bd733-5451-46ec-a710-b8a96807a3ef","model_96_auto.bpmn",0.824400,0.796100,0.900000,0.967400,0.866939,0.810003
"daeb1e0a-022d-42e8-a507-488e77569311","model_95_auto.bpmn",0.888900,0.735300,0.866700,0.967500,0.856097,0.804837
"6854f0f4-f02a-4740-a392-fc6053917dcd","model_94_auto.bpmn",0.869000,0.792100,0.900000,0.966700,0.877429,0.828770
"1165fadc-737f-41f4-b6b5-ab67d98a0966","model_93_auto.bpmn",0.811400,0.000000,0.894700,0.966700,0.000000,0.000000
"d61708ac-1d1c-4a73-971f-8ebc3505363c","model_92_auto.bpmn",0.897200,0.977600,0.900000,0.967400,0.934077,0.935676
"c0d314c1-ce01-4543-9082-465469b1c1e8","model_91_auto.bpmn",0.903800,0.929900,0.866700,0.966700,0.915317,0.916664
"8f1e0228-2b1e-4eb8-b981-977a1756a25a","model_90_auto.bpmn",0.817500,0.000000,0.860500,0.966800,0.000000,0.000000
"2b4a1350-d68c-4b1d-aa0e-89a0ef5a99ca","model_89_auto.bpmn",0.791100,0.000000,0.894700,0.966700,0.000000,0.000000
"b5a6cca9-6743-4dde-b6ec-d61423b2949d","model_88_auto.bpmn",0.841600,0.000000,0.900000,0.967400,0.000000,0.000000
"cacff348-7b3f-4737-ba73-4915af62a5cf","model_87_auto.bpmn",0.886200,0.878900,0.872300,0.967500,0.899648,0.882535
"7ebf6b82-39fe-4a82-86a5-f163ada07d05","model_86_auto.bpmn",0.893300,0.846100,0.826100,0.966800,0.879859,0.869060
"96d307f5-657c-4d33-8c25-f258746eaf69","model_85_auto.bpmn",0.828500,0.000000,0.860500,0.966600,0.000000,0.000000
"5f4a226a-52cd-4233-9c75-aeb67d5b1769","model_84_auto.bpmn",0.853000,0.985600,0.872300,0.966000,0.915639,0.914518
"126a42e3-51e3-4433-a4f9-dbfecc12bfa6","model_83_auto.bpmn",0.928200,0.965900,0.833300,0.967000,0.920210,0.946675
"04a7fa1b-4929-4f51-803b-8bc350780724","model_82_auto.bpmn",0.841500,0.000000,0.826100,0.966800,0.000000,0.000000
"84dab27d-6cc0-418a-887e-b36388bba768","model_81_auto.bpmn",0.776000,0.000000,0.942900,0.966400,0.000000,0.000000
"b5fc071f-7abf-416f-b9b3-d42ebcd58e89","model_80_auto.bpmn",0.830400,0.882600,0.909100,0.967500,0.894687,0.855705
"6c9d8087-6460-405f-ac2c-818b3582187f","model_79_auto.bpmn",0.909300,0.958200,0.860500,0.967100,0.921764,0.933110
"5382b403-9505-414f-a0e9-e7c2e07c36a7","model_78_auto.bpmn",0.863300,0.000000,0.826100,0.966800,0.000000,0.000000
"2ca54992-acfd-4d74-ad20-2838d14367a4","model_77_auto.bpmn",0.883000,0.000000,0.833300,0.966600,0.000000,0.000000
"23ad6e4b-6009-4642-a490-bfbd3015367d","model_76_auto.bpmn",0.805600,0.981200,0.900000,0.966100,0.907715,0.884771
"478295d0-2240-4e23-bb37-0499e2b7797b","model_75_auto.bpmn",0.842400,0.960900,0.900000,0.967200,0.914746,0.897757
"dde193a2-9d0a-4f92-ab0e-ae38e8bd6f1e","model_74_auto.bpmn",0.821200,0.000000,0.900000,0.966600,0.000000,0.000000
"43604a05-d6ba-4c0f-9fc1-2b49d6b0fef5","model_73_auto.bpmn",0.920300,0.853600,0.840000,0.967500,0.892423,0.885696
"6c522a40-c497-44ab-bb3b-a5d428147a5a","model_72_auto.bpmn",0.824800,0.841200,0.904800,0.967500,0.881057,0.832919
"9c3dacd1-71d0-478a-ac44-605fa716c25c","model_71_auto.bpmn",0.882600,0.990700,0.900000,0.965700,0.932611,0.933531
"8017362b-6acf-4a98-83ac-716a848e2a20","model_70_auto.bpmn",0.889900,0.824000,0.860500,0.967400,0.882393,0.855683
"0c409ac7-0b42-493b-b55c-94ffbb645a45","model_69_auto.bpmn",0.871400,0.798300,0.866700,0.967500,0.871909,0.833250
"906b4f6d-fd1f-44ea-b134-ebc28b53830d","model_68_auto.bpmn",0.916800,0.916300,0.866700,0.966900,0.915304,0.916550
"5619af30-9c36-4424-9097-47e68f37da70","model_67_auto.bpmn",0.876100,0.975900,0.900000,0.967400,0.927875,0.923311
"45f03271-147d-4379-8867-b97a21f99709","model_66_auto.bpmn",0.838300,0.000000,0.860500,0.966700,0.000000,0.000000
"574b9055-a055-47e3-ad7c-7fddf8982cb0","model_65_auto.bpmn",0.880100,0.952100,0.900000,0.967400,0.923499,0.914685
"3c1aae39-e535-4699-a2ea-664bcc21e1aa","model_64_auto.bpmn",0.954500,0.000000,0.833300,0.966900,0.000000,0.000000
"444fb067-f500-438c-801c-fd59fb171282","model_63_auto.bpmn",0.916300,0.000000,0.866700,0.967200,0.000000,0.000000
"c4d5ae56-20cc-4a78-8f3c-4971c3dc0824","model_62_auto.bpmn",0.866800,0.869300,0.872300,0.967100,0.891974,0.868048
"cf352009-903d-4170-b138-1f4ce8769416","model_61_auto.bpmn",0.870500,0.000000,0.826100,0.966800,0.000000,0.000000
"a68d5970-bbe8-425f-9cb3-18d747e7119b","model_60_auto.bpmn",0.888800,0.824600,0.866700,0.967500,0.883936,0.855497
"c198e896-14c7-4fd4-b06d-890f5d48b1c9","model_59_auto.bpmn",0.781800,0.789600,0.945900,0.967400,0.862728,0.785681
"3847ecf4-46cd-4425-841c-0581a5e50bec","model_58_auto.bpmn",0.851800,0.815800,0.904800,0.967500,0.881332,0.833411
"a3e8755a-2262-4a1d-8b66-4b8b4f2fcdeb","model_57_auto.bpmn",0.855400,0.833000,0.904800,0.967500,0.887246,0.844051
