modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"0258770c-b188-4f0f-8832-bcb2ad38965e","model_94_auto.bpmn",0.827900,0.765500,0.904800,0.966100,0.859380,0.795478
"caaeb5a1-9cf1-491b-8891-0d067964767e","model_93_auto.bpmn",0.816000,0.000000,0.840000,0.965600,0.000000,0.000000
"80a443a1-ea40-4f46-acc3-e7d5a1f0126d","model_92_auto.bpmn",0.874600,0.559000,0.785700,0.965800,0.763293,0.682061
"402ec55a-a9b5-465c-b496-b10cf6552c66","model_91_auto.bpmn",0.838400,0.647200,0.818200,0.965100,0.800605,0.730496
"044f4c29-227e-40be-b223-7c445cae87ca","model_90_auto.bpmn",0.755200,0.450400,0.846200,0.964900,0.694139,0.564270
"e6bc1ef7-ab39-4512-aacb-d7c71c37882e","model_89_auto.bpmn",0.778300,0.000000,0.803900,0.965300,0.000000,0.000000
"505d84d3-4c6e-46b3-85a9-798b4883afd3","model_88_auto.bpmn",0.677500,0.000000,0.846200,0.964700,0.000000,0.000000
"95d952af-bd47-4f1b-91ae-d2f3556af8a2","model_87_auto.bpmn",0.831000,0.000000,0.826100,0.965400,0.000000,0.000000
"4de59316-2e45-4461-b6cc-a12b3c679786","model_86_auto.bpmn",0.830600,0.000000,0.872300,0.964800,0.000000,0.000000
"aac0f8d1-4613-4a47-bf03-2d4a67b8a768","model_85_auto.bpmn",0.863900,0.763700,0.860500,0.965900,0.857564,0.810716
"dc8a72af-e77f-4ba9-9fd1-65bf4e3b8ecf","model_84_auto.bpmn",0.821300,0.000000,0.833300,0.965300,0.000000,0.000000
"0235fdbb-4605-4c9b-b4ff-1fe1a3f5e773","model_83_auto.bpmn",0.789700,0.470700,0.866700,0.965900,0.716858,0.589831
"4be4d625-02b9-4b2f-b4c2-551e47e4a4df","model_82_auto.bpmn",0.757100,0.000000,0.803900,0.964700,0.000000,0.000000
"5afcedea-ea07-47ae-a87e-e02ffd6f2463","model_81_auto.bpmn",0.802400,0.630300,0.803900,0.965900,0.782465,0.706013
